name,N,rMax_kpc,amp,newtonAmp,rms_fw,rel_rms_fw,sigma_rms_fw,chi2nu_fw,max_sigma_fw,frac_fw_within_1sigma,frac_fw_within_2sigma,frac_fw_within_3sigma,rms_mond,rel_rms_mond,sigma_rms_mond,chi2nu_mond,max_sigma_mond,frac_mond_within_1sigma,frac_mond_within_2sigma,frac_mond_within_3sigma,rms_newton,rel_rms_newton,sigma_rms_newton,chi2nu_newton,max_sigma_newton,delta_sigma_mond_minus_fw,winner_by_sigma,r4,r5,R5-r4,r5r4rmax,r5-r4*rmax*rho4*amp,edge_width_pct,outer_extension_pct,edge_bounded_1pct,edge_bounded_5pct,edge_bounded_10pct,has_mond_components,has_bulge_component,remap_on,remap_delta,remap_rc,n_remapped,max_remap_kpc,mond_disk_ml,mond_bulge_ml,mond_g_dagger_m_s2
F583-4,12,7.29,104.668,36.348,0.967,0.02193,0.231,0.054,0.611,1,1,1,5.332,0.09567,1.145,1.311,1.92,0.41667,1,1,2.61,0.16958,0.549,0.329,1.221,0.913,framework,0.976,1,0.024,0.17496,,2.358,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC4217,19,16.72,104.112,76.136,1.822,0.01153,0.284,0.08,0.578,1,1,1,52.347,0.54471,7.463,55.702,13.601,0,0.05263,0.10526,16.915,0.16323,2.319,5.675,3.703,7.18,framework,1.016,1.026,0.01,0.1672,,1.039,2.631,0,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
F579-V1,14,15.16,260.779,82.03,3.191,0.06995,0.344,0.118,0.966,1,1,1,18.495,0.21739,1.867,3.486,3.548,0.42857,0.71429,0.78571,11.805,0.12192,1.195,1.538,2.152,1.523,framework,0.99,1.001,0.011,0.16676,,1.106,0.106,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC07261,7,6.67,104.486,41.962,0.831,0.01118,0.147,0.022,0.336,1,1,1,4.61,0.08564,0.814,0.663,1.666,0.71429,1,1,3.922,0.0629,0.693,0.56,1.277,0.668,framework,0.974,0.999,0.025,0.16675,,2.484,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
ESO079-G014,15,16.67,104.732,66.63,2.194,0.03995,0.352,0.124,0.894,1,1,1,11.591,0.11931,2.827,7.992,4.623,0.2,0.4,0.46667,12.117,0.20554,2.086,4.663,4.642,2.475,framework,0.99,1,0.01,0.1667,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC08550,11,5.36,104.248,35.229,0.992,0.01917,0.464,0.215,0.947,1,1,1,3.474,0.06973,1.603,2.571,2.117,0.18182,0.63636,1,3.442,0.07475,1.525,2.557,3.124,1.139,framework,0.968,0.999,0.031,0.16616,,3.1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC06930,10,16.61,104.066,52.787,0.865,0.009,0.134,0.018,0.236,1,1,1,10.522,0.10494,1.592,2.533,2.424,0.3,0.7,1,5.822,0.06128,0.867,0.835,1.466,1.458,framework,0.99,1,0.01,0.1661,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
F583-1,25,16.26,347.861,69.688,2.417,0.15885,0.332,0.11,0.768,1,1,1,10.324,0.31883,1.91,3.649,4.688,0.48,0.76,0.88,6.202,0.38144,1.118,1.301,2.797,1.578,framework,0.99,1,0.01,0.1626,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC00634,4,18.01,343.397,79.561,1.254,0.01321,0.799,0.638,1.264,0.75,1,1,2.388,0.03061,1.188,1.411,1.575,0.5,1,1,3.433,0.03373,2.183,6.351,3.131,0.389,framework,0.992,1.001,0.009,0.16209,,0.9,0.1,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC11820,10,15.82,305.919,63.37,2.35,0.10076,1.237,1.531,2.224,0.6,0.8,1,9.201,0.1435,11.529,132.91,27.519,0.3,0.5,0.6,4.421,0.1327,0.977,1.061,1.569,10.291,newtonian,0.99,1,0.01,0.1582,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
ESO116-G012,15,9.86,104.14,51.859,2.109,0.02947,0.672,0.452,1.301,0.86667,1,1,9.243,0.0918,3.589,12.884,6.971,0.2,0.26667,0.66667,5.352,0.14973,1.608,2.769,3.145,2.917,framework,0.984,1,0.016,0.15776,,1.643,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC3917,17,14.86,263.483,86.311,3.036,0.02958,0.701,0.491,2.241,0.94118,0.94118,1,6.686,0.18687,1.691,2.858,4.561,0.52941,0.76471,0.88235,9.448,0.24377,2.341,5.822,5.733,0.99,framework,0.994,1.004,0.01,0.1486,,1,0.4,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
